Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300009689 assembled Ga0116186_10012796,Ga0116186_10012796,methyl-coenzyme M reductase alpha subunit,3300009689,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNNA4_MetaG (*) (MER-FS) (assembled),1,1704,568,Ga0116186_1001279,,Ga0116186_1001279,25701,0.58,86,"COG4058===Methyl coenzyme M reductase, alpha subunit===999.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300028675 assembled Ga0272445_10287652,Ga0272445_10287652,methyl-coenzyme M reductase alpha subunit,3300028675,"Hot spring sediment microbial communities from Yellowstone National Park, WY, United States - YNP-CB-003-1 (*) (MER-FS) (assembled)",1,1410,470,Ga0272445_1028765,,Ga0272445_1028765,1794,0.46,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===855.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Hot (42-90C),Thermal springs,Sediment,sediment,,,,
3300009768 assembled Ga0116193_10032192,Ga0116193_10032192,methyl-coenzyme M reductase alpha subunit,3300009768,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Hong Kong - AD_UKC115_MetaG (*) (MER-FS) (assembled),1,1713,571,Ga0116193_1003219,,Ga0116193_1003219,11906,0.47,118,"COG4058===Methyl coenzyme M reductase, alpha subunit===1067.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300020812 assembled Ga0214071_12633902,Ga0214071_12633902,methyl-coenzyme M reductase alpha subunit,3300020812,"Anaerobic digester digestate microbial community, University of Toronto, Ontario, Canada - DG074 megahit (*) (MER-FS) (assembled)",1,1680,559,Ga0214071_1263390,,Ga0214071_1263390,8028,0.54,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===955.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic digester digestate,,,,
3300027887 assembled Ga0208980_100133642,Ga0208980_100133642,methyl-coenzyme M reductase alpha subunit,3300027887,"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Aug2011 Site A1 Bulk (version 2) (*) (MER-FS) (assembled)",1,1704,567,Ga0208980_10013364,,Ga0208980_10013364,4793,0.53,27,"COG4058===Methyl coenzyme M reductase, alpha subunit===944.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Wetlands,Marine,Sediment,Wetland,,,,
3300040971 assembled Ga0242423_057388_14_1252,null,methyl-coenzyme M reductase alpha subunit,3300040971,"Biofilm microbial communities from Alberta, Canada - Encana_pipeline (*) (MER-FS) (assembled)",1,1239,412,Ga0242423_057388,,Ga0242423_057388,1360,0.44,84,"COG4058===Methyl coenzyme M reductase, alpha subunit===800.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Built environment,Unclassified,Oil refinery,Unclassified,Biofilm,,,,
3300021255 assembled Ga0223825_103372288,Ga0223825_103372288,methyl-coenzyme M reductase alpha subunit,3300021255,Sheep rumen microbial communities from New Zealand - Tag 1494 SPADES assembly (*) (MER-FS) (assembled),1,1656,551,Ga0223825_10337228,,Ga0223825_10337228,10960,0.36,12,"COG4058===Methyl coenzyme M reductase, alpha subunit===1068.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Stomach,Digestive system,Rumen,Cattle and sheep rumen,,,,
3300038336 assembled Ga0246098_01108_12100_13569,null,methyl-coenzyme M reductase alpha subunit,3300038336,"Groundwater microbial communities from Horonobe Underground Research Laboratory (URL), Japan - horonobe_ig2102 (*) (MER-FS) (assembled)",1,1470,489,Ga0246098_01108,,Ga0246098_01108,30503,0.36,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===929.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Groundwater,Freshwater,Unclassified,Groundwater,,,,
3300013089 assembled Ga0163203_10249661,Ga0163203_10249661,methyl-coenzyme M reductase alpha subunit,3300013089,"Freshwater microbial communities from Powell Lake, British Columbia, Canada to study Microbial Dark Matter (Phase II) - PL_2010_330m (*) (MER-FS) (assembled)",1,1425,475,Ga0163203_1024966,,Ga0163203_1024966,1715,0.57,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===775.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Lake,Freshwater,Unclassified,freshwater,,,,
3300021561 assembled Ga0226655_100043799,Ga0226655_100043799,methyl-coenzyme M reductase alpha subunit,3300021561,"Anaerobic digester digestate microbial community, University of Toronto, Ontario, Canada - DG074 spades (*) (MER-FS) (assembled)",1,1707,568,Ga0226655_10004379,,Ga0226655_10004379,14691,0.57,46,"COG4058===Methyl coenzyme M reductase, alpha subunit===979.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic digester digestate,,,,
3300025393 assembled Ga0208041_100209611,Ga0208041_100209611,methyl-coenzyme M reductase alpha subunit,3300025393,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from China - AD_SCU002_MetaG (SPAdes) (version 2) (*) (MER-FS) (assembled),1,1680,559,Ga0208041_1002096,,Ga0208041_1002096,11193,0.56,70,"COG4058===Methyl coenzyme M reductase, alpha subunit===960.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300029786 assembled Ga0243817_10080405,Ga0243817_10080405,methyl-coenzyme M reductase alpha subunit,3300029786,"Human feces microbial communities from a cholera patient in hospital, Baltimore, Maryland, USA - 046_3_12_stool_1 (*) (MER-FS) (assembled)",1,1305,435,Ga0243817_1008040,,Ga0243817_1008040,3883,0.37,8,"COG4058===Methyl coenzyme M reductase, alpha subunit===786.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human feces,,,,
3300021508 assembled Ga0190283_10043901,Ga0190283_10043901,methyl-coenzyme M reductase alpha subunit,3300021508,"Hydrothermal vent microbial mat bacterial communities from Southern Trench, Guaymas Basin, Mexico - 4869-18-0-1_MG (*) (MER-FS) (assembled)",1,1533,511,Ga0190283_1004390,,Ga0190283_1004390,4206,0.52,21,"COG4058===Methyl coenzyme M reductase, alpha subunit===698.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Hydrothermal vents,Marine,Microbial mats,hydrothermal vent microbial mat,,,,
3300025472 assembled Ga0208692_1000006114,Ga0208692_1000006114,methyl-coenzyme M reductase alpha subunit,3300025472,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2015DPH_20_100 (SPAdes) (version 2) (*) (MER-FS) (assembled)",1,1677,558,Ga0208692_1000006,,Ga0208692_1000006,367997,0.5,30,"COG4058===Methyl coenzyme M reductase, alpha subunit===978.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300028634 assembled Ga0302242_10003949,Ga0302242_10003949,methyl-coenzyme M reductase alpha subunit,3300028634,"Enriched activated sludge microbial communities from anaerobic digester in WTTP, New Holstein, Wisconsin, United States - AAG_UR_Lys (*) (MER-FS) (assembled)",1,1662,553,Ga0302242_1000394,,Ga0302242_1000394,45103,0.33,14,"COG4058===Methyl coenzyme M reductase, alpha subunit===940.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,activated sludge,,,,
3300031566 assembled Ga0307378_1000365915,Ga0307378_1000365915,methyl-coenzyme M reductase alpha subunit,3300031566,"Soil microbial communities from Risofladan, Vaasa, Finland - UN-1 (*) (MER-FS) (assembled)",1,1692,563,Ga0307378_10003659,,Ga0307378_10003659,22346,0.47,36,"COG4058===Methyl coenzyme M reductase, alpha subunit===784",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Coastal area,Soil,Acid sulfate soil,soil,,,,
3300029340 assembled Ga0243727_10009755,Ga0243727_10009755,methyl-coenzyme M reductase alpha subunit,3300029340,"Human feces microbial communities from a cholera patient in hospital, Baltimore, Maryland, USA - 025_10_28_stool_1 (*) (MER-FS) (assembled)",1,1656,551,Ga0243727_1000975,,Ga0243727_1000975,23172,0.34,13,"COG4058===Methyl coenzyme M reductase, alpha subunit===1037.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals: Human,Large intestine,Digestive system,Fecal,Human feces,,,,
3300027735 assembled Ga0209261_100324631,Ga0209261_100324631,methyl-coenzyme M reductase alpha subunit,3300027735,"Wetland sediment microbial communities from St. Louis River estuary, USA, under dissolved organic matter induced mercury methylation - T0Bare1Fresh (SPAdes) (version 2) (*) (MER-FS) (assembled)",1,1254,418,Ga0209261_10032463,,Ga0209261_10032463,1293,0.58,19,"COG4058===Methyl coenzyme M reductase, alpha subunit===698.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Wetlands,Freshwater,Sediment,Wetland sediment,,,,
3300025408 assembled Ga0208462_10007931,Ga0208462_10007931,methyl-coenzyme M reductase alpha subunit,3300025408,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from China - AD_SCU001_MetaG (SPAdes) (version 2) (*) (MER-FS) (assembled),1,1707,568,Ga0208462_1000793,,Ga0208462_1000793,26740,0.63,730,"COG4058===Methyl coenzyme M reductase, alpha subunit===987.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300014204 assembled Ga0172381_101004461,Ga0172381_101004461,methyl-coenzyme M reductase alpha subunit,3300014204,"Leachate microbial communities from a municipal landfill in Southern Ontario, Canada - Leachate well 64-88 metaG (*) (MER-FS) (assembled)",1,1251,417,Ga0172381_10100446,,Ga0172381_10100446,2400,0.51,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===758.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Solid waste,Unclassified,Landfill,Unclassified,landfill leachate,,,,
3300021603 assembled Ga0226659_100620062,Ga0226659_100620062,methyl-coenzyme M reductase alpha subunit,3300021603,"Granular sludge microbial community from anaerobic digester, University of Toronto, Ontario, Canada - UASBVu03_granules spades (*) (MER-FS) (assembled)",1,1590,529,Ga0226659_10062006,,Ga0226659_10062006,2108,0.59,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===413.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,granular sludge,,,,
3300013750 assembled Ga0116838_10019802,Ga0116838_10019802,methyl-coenzyme M reductase alpha subunit,3300013750,"Oral microbial communities from fossilized dental plaque from Dalheim, Germany - S2-Shot-B61-calc (*) (MER-FS) (assembled)",1,1668,556,Ga0116838_1001980,,Ga0116838_1001980,2374,0.37,12,"COG4058===Methyl coenzyme M reductase, alpha subunit===1067.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals: Human,Skeletonized remains,Remains,Dental calculus,Fossilized dental plaque,,,,
3300017946 assembled Ga0187879_100000114,Ga0187879_100000114,methyl-coenzyme M reductase alpha subunit,3300017946,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2016WEW_19_10 (*) (MER-FS) (assembled)",1,1677,558,Ga0187879_10000011,,Ga0187879_10000011,228855,0.5,40,"COG4058===Methyl coenzyme M reductase, alpha subunit===994.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300021561 assembled Ga0226655_100011112,Ga0226655_100011112,methyl-coenzyme M reductase alpha subunit,3300021561,"Anaerobic digester digestate microbial community, University of Toronto, Ontario, Canada - DG074 spades (*) (MER-FS) (assembled)",1,1680,559,Ga0226655_10001111,,Ga0226655_10001111,39336,0.53,57,"COG4058===Methyl coenzyme M reductase, alpha subunit===955.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic digester digestate,,,,
3300009091 assembled Ga0102851_102007261,Ga0102851_102007261,methyl-coenzyme M reductase alpha subunit,3300009091,"Freshwater wetland microbial communities from Ohio, USA, analyzing the effect of biotic and abiotic controls - Mud 3 Core 4 Depth 3 metaG (Illumina Assembly) (*) (MER-FS) (assembled)",1,1653,551,Ga0102851_10200726,,Ga0102851_10200726,1870,0.54,9,"COG4058===Methyl coenzyme M reductase, alpha subunit===974",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Wetlands,Freshwater,Unclassified,Freshwater wetlands,,,,
3300013879 assembled Ga0181299_1003495,Ga0181299_1003495,methyl-coenzyme M reductase alpha subunit,3300013879,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - 15 gl 50C L1 15gl 50C L1 (*) (MER-FS) (assembled)",1,1908,636,Ga0181299_100349,,Ga0181299_100349,7519,0.38,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===501.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Lab enrichment,Anaerobic media,Defined media,Unclassified,Laboratory microcosms,,,,
3300009680 assembled Ga0123335_100009524,Ga0123335_100009524,methyl-coenzyme M reductase alpha subunit,3300009680,"Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R2 time_0 SIP DNA (*) (MER-FS) (assembled)",1,1680,560,Ga0123335_1000095,,Ga0123335_1000095,124147,0.6,140,"COG4058===Methyl coenzyme M reductase, alpha subunit===935.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic biogas reactor,,,,
3300018090 assembled Ga0187770_100686592,Ga0187770_100686592,methyl-coenzyme M reductase alpha subunit,3300018090,"Tropical peat soil microbial communities from peatlands in Department of Meta, Colombia - 0116_SJ02_MP02_20_MG (*) (MER-FS) (assembled)",1,1668,555,Ga0187770_10068659,,Ga0187770_10068659,2592,0.54,15,"COG4058===Methyl coenzyme M reductase, alpha subunit===993.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Tropical peatland,,,,
3300038318 assembled Ga0134855_000055_162308_163963,null,methyl-coenzyme M reductase alpha subunit,3300038318,"Liquor fermentation pit mud microbial communities from Mianyang, China - Meta-8-1-20-B (*) (MER-FS) (assembled)",1,1656,551,Ga0134855_000055,,Ga0134855_000055,180207,0.39,78,"COG4058===Methyl coenzyme M reductase, alpha subunit===1062.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Unclassified,Unclassified,Fermentation pit mud,,,,
3300027510 assembled Ga0209537_100007772,Ga0209537_100007772,methyl-coenzyme M reductase alpha subunit,3300027510,Biogas fermentation microbial communities from Germany - Plant 4 DNA1 (SPAdes) (version 2) (*) (MER-FS) (assembled),1,1653,550,Ga0209537_1000077,,Ga0209537_1000077,103422,0.5,103,"COG4058===Methyl coenzyme M reductase, alpha subunit===1127.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Biogas fermentantion,,,7.8,
3300009111 assembled Ga0115026_100196571,Ga0115026_100196571,methyl-coenzyme M reductase alpha subunit,3300009111,"Wetland microbial communities from Old Woman Creek Reserve in Ohio, USA - Mud_0915_D1 (*) (MER-FS) (assembled)",1,1227,409,Ga0115026_10019657,,Ga0115026_10019657,3260,0.57,19,"COG4058===Methyl coenzyme M reductase, alpha subunit===677.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Wetlands,Freshwater,Sediment,Wetland,,,,
3300031566 assembled Ga0307378_100414714,Ga0307378_100414714,methyl-coenzyme M reductase alpha subunit,3300031566,"Soil microbial communities from Risofladan, Vaasa, Finland - UN-1 (*) (MER-FS) (assembled)",1,1665,554,Ga0307378_10041471,,Ga0307378_10041471,5216,0.54,8,"COG4058===Methyl coenzyme M reductase, alpha subunit===949.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Coastal area,Soil,Acid sulfate soil,soil,,,,
3300021843 assembled Ga0226657_100124544,Ga0226657_100124544,methyl-coenzyme M reductase alpha subunit,3300021843,"Anaerobic digester digestate microbial community, University of Toronto, Ontario, Canada - DG078 spades (*) (MER-FS) (assembled)",1,1707,568,Ga0226657_10012454,,Ga0226657_10012454,6182,0.55,28,"COG4058===Methyl coenzyme M reductase, alpha subunit===979.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic digester digestate,,,,
3300009712 assembled Ga0116165_10014794,Ga0116165_10014794,methyl-coenzyme M reductase alpha subunit,3300009712,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNMR1_MetaG (*) (MER-FS) (assembled),1,1680,560,Ga0116165_1001479,,Ga0116165_1001479,18183,0.54,65,"COG4058===Methyl coenzyme M reductase, alpha subunit===976.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300031994 assembled Ga0310691_100322214,Ga0310691_100322214,methyl-coenzyme M reductase alpha subunit,3300031994,"Sheep rumen microbial communities from Palmerston North, Manawatu-Wanganui, New Zealand - 1766 DNA GHGlow gp2 (v2) (version 2) (*) (MER-FS) (assembled)",1,1665,554,Ga0310691_10032221,,Ga0310691_10032221,5225,0.57,18,"COG4058===Methyl coenzyme M reductase, alpha subunit===893.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Stomach,Digestive system,Rumen,rumen,,,,
3300026139 assembled Ga0265402_1023621,Ga0265402_1023621,methyl-coenzyme M reductase alpha subunit,3300026139,"Activated sludge microbial communities from lab. scaled anaerobic digester in Belvaux, Luxembourg - ACS0-1 (*) (MER-FS) (assembled)",1,1473,491,Ga0265402_102362,,Ga0265402_102362,4795,0.45,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===959.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,activated sludge,,,,
3300014261 assembled Ga0075360_10051721,Ga0075360_10051721,methyl-coenzyme M reductase alpha subunit,3300014261,"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_TuleC_D1 (*) (MER-FS) (assembled)",1,1278,426,Ga0075360_1005172,,Ga0075360_1005172,1449,0.56,11,"COG4058===Methyl coenzyme M reductase, alpha subunit===786.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Unclassified,Natural and restored wetlands,,,,
3300009681 assembled Ga0116174_1000022830,Ga0116174_1000022830,methyl-coenzyme M reductase alpha subunit,3300009681,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC087_MetaG (*) (MER-FS) (assembled),1,1662,554,Ga0116174_10000228,,Ga0116174_10000228,57718,0.34,16,"COG4058===Methyl coenzyme M reductase, alpha subunit===940.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300029813 assembled Ga0311296_12018602,Ga0311296_12018602,methyl-coenzyme M reductase alpha subunit,3300029813,"Marine sediment microbial communities from Washington margin, Washington, USA - Site 8 Core 34 (*) (MER-FS) (assembled)",1,1740,579,Ga0311296_1201860,,Ga0311296_1201860,3942,0.52,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===748.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,Cold seeps,Marine,Sediment,marine sediment,,,,
3300024303 assembled Ga0257089_100264217,Ga0257089_100264217,methyl-coenzyme M reductase alpha subunit,3300024303,"Goat fecal pellet fungal communities from Santa Barbara, California, USA - pellet 3 Spades (v3) (version 3) (*) (MER-FS) (assembled)",1,1707,568,Ga0257089_10026421,,Ga0257089_10026421,9943,0.51,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===981.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Host-associated,Mammals,Large intestine,Digestive system,Fecal,Goat feces,,,,
3300018040 assembled Ga0187862_100083529,Ga0187862_100083529,methyl-coenzyme M reductase alpha subunit,3300018040,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2016WEW_10_150 (*) (MER-FS) (assembled)",1,1677,558,Ga0187862_10008352,,Ga0187862_10008352,9085,0.51,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===978.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300009671 assembled Ga0123334_10177824,Ga0123334_10177824,methyl-coenzyme M reductase alpha subunit,3300009671,"Anaerobic biogas reactor microbial communites from Washington, USA - Biogas_R1 time_0 SIP DNA (*) (MER-FS) (assembled)",1,1659,553,Ga0123334_1017782,,Ga0123334_1017782,5085,0.59,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===903.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,Anaerobic biogas reactor,,,,
3300025856 assembled Ga0209604_10092956,Ga0209604_10092956,methyl-coenzyme M reductase alpha subunit,3300025856,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from USA - AD_UKC097_MetaG (SPAdes) (version 2) (*) (MER-FS) (assembled),1,1704,567,Ga0209604_1009295,,Ga0209604_1009295,5864,0.56,46,"COG4058===Methyl coenzyme M reductase, alpha subunit===993.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300008979 assembled Ga0116007_10051221,Ga0116007_10051221,methyl-coenzyme M reductase alpha subunit,3300008979,Final time point T65 (1) (BES) benzoate enrichments of Methanogenic microbial communities using Athabasca oil sands as inoculum DE NOVO (2) (*) (MER-FS) (assembled),1,1377,459,Ga0116007_1005122,,Ga0116007_1005122,1526,0.42,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===866",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Unclassified,Oil reservoir,Unclassified,Oil Sands,,,,
3300025475 assembled Ga0208478_10187201,Ga0208478_10187201,methyl-coenzyme M reductase alpha subunit,3300025475,"Arctic peat soil microbial communities from Barrow, Alaska - NGEE Surface sample 415-2 deep-072012 (SPAdes) (*) (MER-FS) (assembled)",1,1326,441,Ga0208478_1018720,,Ga0208478_1018720,1461,0.58,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===826",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Arctic peat soil,,,,
3300009704 assembled Ga0116145_10705891,Ga0116145_10705891,methyl-coenzyme M reductase alpha subunit,3300009704,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNHG1_MetaG (*) (MER-FS) (assembled),1,1512,504,Ga0116145_1070589,,Ga0116145_1070589,1548,0.62,32,"COG4058===Methyl coenzyme M reductase, alpha subunit===920.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Anaerobic digestor sludge,,,,
3300009641 assembled Ga0116120_10038273,Ga0116120_10038273,methyl-coenzyme M reductase alpha subunit,3300009641,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2015DPH_11_150 (*) (MER-FS) (assembled)",1,1677,559,Ga0116120_1003827,,Ga0116120_1003827,8081,0.53,16,"COG4058===Methyl coenzyme M reductase, alpha subunit===980.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Terrestrial,Wetlands,Soil,Peat,Peatland,,,,
3300008941 assembled Ga0115972_10046741,Ga0115972_10046741,methyl-coenzyme M reductase alpha subunit,3300008941,"T8 (1) BES Syntrophic microbial communities from anoxic layer of the sediment of River Tyne near Scotswood, United Kingdom - benzoate enriched in lab, transferred 6 times DE NOVO (2) (*) (MER-FS) (assembled)",1,1536,512,Ga0115972_1004674,,Ga0115972_1004674,1537,0.64,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===894",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Environmental,Aquatic,River,Freshwater,Sediment,Sediment,,,,
3300029825 assembled Ga0134835_100027951,Ga0134835_100027951,methyl-coenzyme M reductase alpha subunit,3300029825,"Liquor fermentation pit mud microbial communities from Luzhou, China - Meta-1-2-440-M (*) (MER-FS) (assembled)",1,1656,551,Ga0134835_1000279,,Ga0134835_1000279,70919,0.37,29,"COG4058===Methyl coenzyme M reductase, alpha subunit===1075.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Bioreactor,Unclassified,Unclassified,Unclassified,Fermentation pit mud,,,,
3300013882 assembled Ga0181306_10024521,Ga0181306_10024521,methyl-coenzyme M reductase alpha subunit,3300013882,"laboratory microbial enrichments from Reconcavo Basin petroleum reservoir, Newcastle Upon Tyne, UK - Enrich 2 Enrich 2 (*) (MER-FS) (assembled)",1,1698,566,Ga0181306_100245,,Ga0181306_100245,16757,0.43,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1091.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],Engineered,Lab enrichment,Anaerobic media,Defined media,Unclassified,Laboratory microcosms,,,,
