Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,KO,NCBI Assembly Accession,NCBI Bioproject Accession,NCBI Biosample Accession,NCBI GenBank ID,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Habitat,Nitrate Concentration,Oxygen Concentration,pH,Salinity
3300035676 assembled Ga0316623_00526837_39_1460,null,methyl-coenzyme M reductase alpha subunit,3300035676,"Wetland soil microbial communities from Old Woman Creek delta, Ohio, United States - OWC_Aug_N3_C1_D1_A (*) (MER-FS) (assembled)",2,1422,473,Ga0316623_00526837,,Ga0316623_00526837,1465,0.56,6,"COG4058===Methyl coenzyme M reductase, alpha subunit===889",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA621977,SAMN14515374,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,soil,,,,
3300052722 assembled Ga0526692_0176781_294_1796,null,methyl-coenzyme M reductase alpha subunit,3300052722,"Soil microbial communities from lacustrine wetlands, Lake Washington, Seattle, WA, USA - LW1_C4_Btm (*) (MER-FS) (assembled)",2,1503,500,Ga0526692_0176781,,Ga0526692_0176781,1798,0.62,39,"COG4058===Methyl coenzyme M reductase, alpha subunit===895.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Wetlands,Freshwater,Soil,soil,,,,
3300039412 assembled Ga0427922_0000136_13481_15148,null,methyl-coenzyme M reductase alpha subunit,3300039412,"Peat soil microbial communities from Marcell Experimental Forest, MN, USA - P7_D8 (*) (MER-FS) (assembled)",2,1668,555,Ga0427922_0000136,,Ga0427922_0000136,202144,0.5,21,"COG4058===Methyl coenzyme M reductase, alpha subunit===967",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA677011,SAMN16772997,,Environmental,Terrestrial,Wetlands,Soil,Peat,peat soil,,,,
3300041749 assembled Ga0452025_0504099_419_1864,null,methyl-coenzyme M reductase alpha subunit,3300041749,"Rumen microbial community from a dairy cow Lincoln, Canterbury, New Zealand - R17_400 MetaG (*) (MER-FS) (assembled)",2,1446,481,Ga0452025_0504099,,Ga0452025_0504099,1887,0.56,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===794.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Host-associated,Mammals,Stomach,Digestive system,Rumen,Bovine rumen,,,,
3300032783 assembled Ga0335079_100983741,Ga0335079_100983741,methyl-coenzyme M reductase alpha subunit,3300032783,"Soil microbial communities from Loxahatchee National Wildlife Refuge, Florida, United States - Lox_Sample_3.3 (*) (MER-FS) (assembled)",2,1641,547,Ga0335079_10098374,,Ga0335079_10098374,3318,0.57,12,"COG4058===Methyl coenzyme M reductase, alpha subunit===947.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA531780,SAMN11382440,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,soil,,,,
3300037264 assembled Ga0393283_0020069_3927_5615,null,methyl-coenzyme M reductase alpha subunit,3300037264,"Sediment microbial communities from Lake Lucerne, Nidwalden, Switzerland - LL_38 (*) (MER-FS) (assembled)",2,1689,562,Ga0393283_0020069,,Ga0393283_0020069,6331,0.55,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===983.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620364,SAMN14511365,,Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300043113 assembled Ga0484784_007627_747_2474,null,methyl-coenzyme M reductase alpha subunit,3300043113,"Oil reservoir microbial communities from oil well in Texas, United States - B6.2_Sample6.Rodeo2.Well1132 (coverage test 4Gb) (version 3) (*) (MER-FS) (assembled)",2,1728,575,Ga0484784_007627,,Ga0484784_007627,3328,0.47,9,"COG4058===Methyl coenzyme M reductase, alpha subunit===1000.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620668,SAMN14511136,,Environmental,Terrestrial,Oil well,Deep subsurface,Unclassified,oil reservoir,,,,
3300036947 assembled Ga0377204_029488_15_1274,null,methyl-coenzyme M reductase alpha subunit,3300036947,"Wastewater microbial communities from Lulu Island WWTP, Vancouver, Canada - AD1 52 III (*) (MER-FS) (assembled)",2,1260,419,Ga0377204_029488,,Ga0377204_029488,2722,0.48,60,"COG4058===Methyl coenzyme M reductase, alpha subunit===757.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620754,SAMN14511158,,Engineered,WWTP,Unclassified,Wastewater,Unclassified,wastewater,,,,
3300031260 assembled Ga0325117_1361156,Ga0325117_1361156,methyl-coenzyme M reductase alpha subunit,3300031260,"Hydraulic fracturing wastewater microbial communities from a shale gas play in Sichuan Basin, China - A1 (*) (MER-FS) (assembled)",2,1662,553,Ga0325117_136115,,Ga0325117_136115,13672,0.47,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===1157",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,Unclassified,Industrial wastewater,,,,
3300047187 assembled Ga0494798_000004_62592_64280,null,methyl-coenzyme M reductase alpha subunit,3300047187,"Lake sediment microbial communities from Stordalen Mire, Sweden - 2018 MH01_10cm (*) (MER-FS) (assembled)",2,1689,562,Ga0494798_000004,,Ga0494798_000004,82350,0.53,49,"COG4058===Methyl coenzyme M reductase, alpha subunit===982.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Lake,Freshwater,Sediment,Lake sediment,,,,
3300057035 assembled Ga0568884_0330149_3_1412,null,methyl-coenzyme M reductase alpha subunit,3300057035,"Soil microbial communities from Satilla River freshwater marsh, Georgia, USA - F1L_30_32 (*) (MER-FS) (assembled)",2,1410,470,Ga0568884_0330149,,Ga0568884_0330149,1412,0.54,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===861.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,Soil,,,,
3300037528 assembled Ga0334897_010460_2144_3799,null,methyl-coenzyme M reductase alpha subunit,3300037528,"Sludge microbial communities from methane-producing bioreactor in Wageningen University, Netherlands - Granular Sludge_18_07-R3 (*) (MER-FS) (assembled)",2,1656,551,Ga0334897_010460,,Ga0334897_010460,5586,0.44,12,"COG4058===Methyl coenzyme M reductase, alpha subunit===1067.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA655052,SAMN15738709,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,sludge,,,,
3300048598 assembled Ga0498939_004386_24231_25949,null,methyl-coenzyme M reductase alpha subunit,3300048598,"Wood chips microbial communities from bioreactor in Golden, Colorado, USA - AB_TrOCs_1 (*) (MER-FS) (assembled)",2,1719,572,Ga0498939_004386,,Ga0498939_004386,26088,0.52,67,"COG4058===Methyl coenzyme M reductase, alpha subunit===505.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Woodchip Bioreactor (WBR),Denitrification,Unclassified,Wood chips,,,,
3300051628 assembled Ga0527707_005466_2138_3433,null,methyl-coenzyme M reductase alpha subunit,3300051628,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 5.T.5_6.3 (*) (MER-FS) (assembled)",2,1296,432,Ga0527707_005466,,Ga0527707_005466,3435,0.5,16,"COG4058===Methyl coenzyme M reductase, alpha subunit===859.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300037184 assembled Ga0395719_040138_3_1442,null,methyl-coenzyme M reductase alpha subunit,3300037184,"Peatland microbial communities from Stordalen Mire, Sweden - 713 C-1-X1 (*) (MER-FS) (assembled)",2,1440,480,Ga0395719_040138,,Ga0395719_040138,2330,0.42,8,"COG4058===Methyl coenzyme M reductase, alpha subunit===921.6",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA618093,SAMN14505120,,Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300033150 assembled Ga0366835_100911310,Ga0366835_100911310,methyl-coenzyme M reductase alpha subunit,3300033150,"Subseafloor sediment microbial communities from Guaymas Basin, Gulf of California, Mexico - Megamat, Core 4486-22, Meg22, 14-16 cm (*) (MER-FS) (assembled)",2,1818,605,Ga0366835_1009113,,Ga0366835_1009113,14541,0.33,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===363.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Hydrothermal vents,Marine,Sediment,marine sediment,,,,
3300035494 assembled Ga0376447_003692_1_1344,Ga0376447_72978,methyl-coenzyme M reductase alpha subunit,3300035494,"Tar microbial communities from Pitch Lake, Trinidad and Tobago - PitchLake_TarD_star (*) (MER-FS) (assembled)",2,1344,448,Ga0376447_003692,,Ga0376447_003692,7827,0.48,11,"COG4058===Methyl coenzyme M reductase, alpha subunit===454.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620691,SAMN14511051,,Environmental,Terrestrial,Tar,Asphalt lakes,Unclassified,tar,,,,
3300037109 assembled Ga0395722_0089496_91_1458,null,methyl-coenzyme M reductase alpha subunit,3300037109,"Peatland microbial communities from Stordalen Mire, Sweden - 713 C-2-X0 (*) (MER-FS) (assembled)",2,1368,456,Ga0395722_0089496,,Ga0395722_0089496,1459,0.56,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===778.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA618096,SAMN14506014,,Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300051044 assembled Ga0527654_000183_42131_43792,null,methyl-coenzyme M reductase alpha subunit,3300051044,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 5.T.7_4.1 (*) (MER-FS) (assembled)",2,1662,553,Ga0527654_000183,,Ga0527654_000183,88259,0.49,18,"COG4058===Methyl coenzyme M reductase, alpha subunit===1158.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300051046 assembled Ga0527657_000387_3151_4803,null,methyl-coenzyme M reductase alpha subunit,3300051046,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 5.T.7_5.1 (*) (MER-FS) (assembled)",2,1653,550,Ga0527657_000387,,Ga0527657_000387,57883,0.41,13,"COG4058===Methyl coenzyme M reductase, alpha subunit===1071.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300050121 assembled Ga0500010_005825_669_2345,null,methyl-coenzyme M reductase alpha subunit,3300050121,"Peatland microbial communities from Stordalen Mire, Sweden - 714 PHB-Rim1 70-74 (*) (MER-FS) (assembled)",2,1677,558,Ga0500010_005825,,Ga0500010_005825,6255,0.52,74,"COG4058===Methyl coenzyme M reductase, alpha subunit===991.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Peat,Soil,Mire,Peat soil,,,,
3300049436 assembled Ga0496010_0002989_8404_10161,null,methyl-coenzyme M reductase alpha subunit,3300049436,"Woodchip biofilm microbial communities from lab scale WBR in Cornell University, Ithaca, NY, USA - rep1_cs_p2_w0 (*) (MER-FS) (assembled)",2,1758,585,Ga0496010_0002989,,Ga0496010_0002989,13961,0.45,11,"COG4058===Methyl coenzyme M reductase, alpha subunit===1058",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Woodchip Bioreactor (WBR),Denitrification,Woodchip biofilm,Woodchip biofilm,,,,
3300031877 assembled Ga0315314_100013536,Ga0315314_100013536,methyl-coenzyme M reductase alpha subunit,3300031877,"Freshwater sediment microbial communities from Lake Towuti, South Sulawesi, Indonesia - TDP9 (*) (MER-FS) (assembled)",2,1674,557,Ga0315314_1000135,,Ga0315314_1000135,97387,0.38,29,"COG4058===Methyl coenzyme M reductase, alpha subunit===945.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA539347,SAMN11532410,,Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300052298 assembled Ga0528643_002706_4676_6328,null,methyl-coenzyme M reductase alpha subunit,3300052298,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 10.M.7_12.1 (*) (MER-FS) (assembled)",2,1653,550,Ga0528643_002706,,Ga0528643_002706,8696,0.44,12,"COG4058===Methyl coenzyme M reductase, alpha subunit===1074",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300041770 assembled Ga0452057_1077628_2361_3689,null,methyl-coenzyme M reductase alpha subunit,3300041770,"Rumen microbial community from a dairy cow Lincoln, Canterbury, New Zealand - R18_15 MetaG (*) (MER-FS) (assembled)",2,1329,443,Ga0452057_1077628,,Ga0452057_1077628,3690,0.39,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===841.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Host-associated,Mammals,Stomach,Digestive system,Rumen,Bovine rumen,,,,
3300036947 assembled Ga0377204_021758_2_1630,null,methyl-coenzyme M reductase alpha subunit,3300036947,"Wastewater microbial communities from Lulu Island WWTP, Vancouver, Canada - AD1 52 III (*) (MER-FS) (assembled)",2,1629,543,Ga0377204_021758,,Ga0377204_021758,3445,0.6,34,"COG4058===Methyl coenzyme M reductase, alpha subunit===922.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620754,SAMN14511158,,Engineered,WWTP,Unclassified,Wastewater,Unclassified,wastewater,,,,
3300051052 assembled Ga0527666_011678_1050_2717,null,methyl-coenzyme M reductase alpha subunit,3300051052,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 3.M.7_8.1 (*) (MER-FS) (assembled)",2,1668,555,Ga0527666_011678,,Ga0527666_011678,3732,0.37,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===1031.9",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300046484 assembled Ga0495438_0033145_631_2319,null,methyl-coenzyme M reductase alpha subunit,3300046484,"Peat soil microbial communities from Stordalen Mire, Sweden - 719 AvCe-C(2) 20-24 (*) (MER-FS) (assembled)",2,1689,562,Ga0495438_0033145,,Ga0495438_0033145,2926,0.57,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===979.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Peat,Soil,Mire,Peat soil,,,,
3300057032 assembled Ga0568849_0000412_36663_38432,null,methyl-coenzyme M reductase alpha subunit,3300057032,"Soil microbial communities from Satilla River mesohaline marsh, Georgia, USA - M2P_9_10 (*) (MER-FS) (assembled)",2,1770,589,Ga0568849_0000412,,Ga0568849_0000412,46081,0.54,26,"COG4058===Methyl coenzyme M reductase, alpha subunit===976.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,Soil,,,,
3300038429 assembled Ga0427951_000060_229700_231376,null,methyl-coenzyme M reductase alpha subunit,3300038429,"Peat soil microbial communities from Marcell Experimental Forest, MN, USA - P8_D10 (*) (MER-FS) (assembled)",2,1677,558,Ga0427951_000060,,Ga0427951_000060,240924,0.5,67,"COG4058===Methyl coenzyme M reductase, alpha subunit===978.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA651501,SAMN15722032,,Environmental,Terrestrial,Wetlands,Soil,Peat,peat soil,,,,
3300038428 assembled Ga0427950_000270_73606_75282,null,methyl-coenzyme M reductase alpha subunit,3300038428,"Peat soil microbial communities from Marcell Experimental Forest, MN, USA - P8_D8 (*) (MER-FS) (assembled)",2,1677,558,Ga0427950_000270,,Ga0427950_000270,113468,0.5,24,"COG4058===Methyl coenzyme M reductase, alpha subunit===978.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA651500,SAMN15721161,,Environmental,Terrestrial,Wetlands,Soil,Peat,peat soil,,,,
3300032070 assembled Ga0315279_1001122710,Ga0315279_1001122710,methyl-coenzyme M reductase alpha subunit,3300032070,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G06_20 (*) (MER-FS) (assembled)",2,1689,562,Ga0315279_10011227,,Ga0315279_10011227,10395,0.55,15,"COG4058===Methyl coenzyme M reductase, alpha subunit===986.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA539321,SAMN11528593,,Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300036774 assembled Ga0393616_0125674_1_1389,null,methyl-coenzyme M reductase alpha subunit,3300036774,"Freshwater sediment microbial communities from the Saint-Maurice River, Canada - WEM-1_at_6-7_cm (*) (MER-FS) (assembled)",2,1389,463,Ga0393616_0125674,,Ga0393616_0125674,1868,0.58,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===804.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,River,Freshwater,Sediment,Freshwater sediment,,,,
3300042582 assembled Ga0466657_286379_2107_3336,null,methyl-coenzyme M reductase alpha subunit,3300042582,"Termite gut microbial communities of Astalotermes quietus from Ebogo II, Mbalmayo, Cameroon - Ast373 (*) (MER-FS) (assembled)",2,1230,410,Ga0466657_286379,,Ga0466657_286379,3336,0.36,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===752.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Host-associated,Arthropoda: Insects,Gut,Digestive system,Unclassified,Termite gut,,,,
3300051842 assembled Ga0528645_007616_1938_3590,null,methyl-coenzyme M reductase alpha subunit,3300051842,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 10.M.7_12.3 (*) (MER-FS) (assembled)",2,1653,550,Ga0528645_007616,,Ga0528645_007616,4695,0.46,14,"COG4058===Methyl coenzyme M reductase, alpha subunit===1074",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300036963 assembled Ga0377222_015472_448_2154,null,methyl-coenzyme M reductase alpha subunit,3300036963,"Wastewater microbial communities from Lulu Island WWTP, Vancouver, Canada - AD1 38 III (*) (MER-FS) (assembled)",2,1707,568,Ga0377222_015472,,Ga0377222_015472,3551,0.63,33,"COG4058===Methyl coenzyme M reductase, alpha subunit===974.2",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA620838,SAMN14511102,,Engineered,WWTP,Unclassified,Wastewater,Unclassified,wastewater,,,,
3300041923 assembled Ga0452091_1070323_399_1913,null,methyl-coenzyme M reductase alpha subunit,3300041923,"Rumen microbial community from a dairy cow Lincoln, Canterbury, New Zealand - R18_480 MetaG (*) (MER-FS) (assembled)",2,1515,505,Ga0452091_1070323,,Ga0452091_1070323,1915,0.4,1,"COG4058===Methyl coenzyme M reductase, alpha subunit===946.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Host-associated,Mammals,Stomach,Digestive system,Rumen,Bovine rumen,,,,
3300037130 assembled Ga0395983_024057_537_1901,null,methyl-coenzyme M reductase alpha subunit,3300037130,"Peatland microbial communities from Stordalen Mire, Sweden - 713 CPN1-1-D (*) (MER-FS) (assembled)",2,1365,454,Ga0395983_024057,,Ga0395983_024057,2636,0.42,5,"COG4058===Methyl coenzyme M reductase, alpha subunit===883.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA618124,SAMN14504115,,Environmental,Terrestrial,Wetlands,Soil,Peat,soil,,,,
3300057050 assembled Ga0568865_0296984_1_1311,null,methyl-coenzyme M reductase alpha subunit,3300057050,"Soil microbial communities from Satilla River freshwater marsh, Georgia, USA - F2P_18_20 (*) (MER-FS) (assembled)",2,1311,436,Ga0568865_0296984,,Ga0568865_0296984,1366,0.53,7,"COG4058===Methyl coenzyme M reductase, alpha subunit===793.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Wetlands,Soil,Unclassified,Soil,,,,
3300048590 assembled Ga0498928_0001128_55763_57475,null,methyl-coenzyme M reductase alpha subunit,3300048590,"Sediment microbial communities from brackish wetlands in San Jose, California, USA - ROC8_2 (*) (MER-FS) (assembled)",2,1713,570,Ga0498928_0001128,,Ga0498928_0001128,59084,0.42,36,"COG4058===Methyl coenzyme M reductase, alpha subunit===1061",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Intertidal zone,Marine,Salt marsh sediment,Sediment,,,,
3300056674 assembled Ga0558067_0000590_1926_3602,null,methyl-coenzyme M reductase alpha subunit,3300056674,"Glacial till microbial communities from Anvers Island, Antarctica - APS1_3W_T0 (*) (MER-FS) (assembled)",2,1677,558,Ga0558067_0000590,,Ga0558067_0000590,135006,0.47,46,"COG4058===Methyl coenzyme M reductase, alpha subunit===990.8",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Terrestrial,Glacial till,Soil,Unclassified,Glacial till,,,,
3300051844 assembled Ga0528647_006246_477_2189,null,methyl-coenzyme M reductase alpha subunit,3300051844,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 10.M.8_1.2 (*) (MER-FS) (assembled)",2,1713,570,Ga0528647_006246,,Ga0528647_006246,5264,0.5,9,"COG4058===Methyl coenzyme M reductase, alpha subunit===1066.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300045118 assembled Ga0438315_0000802_10976_12643,null,methyl-coenzyme M reductase alpha subunit,3300045118,"Freshwater microbial communities from Matano Lake, South Sulawesi, Indonesia - Matano_110m_2015 (*) (MER-FS) (assembled)",2,1668,555,Ga0438315_0000802,,Ga0438315_0000802,41214,0.55,31,"COG4058===Methyl coenzyme M reductase, alpha subunit===970.3",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Lake,Freshwater,Unclassified,Freshwater,,,,
3300052297 assembled Ga0528642_037478_191_1531,null,methyl-coenzyme M reductase alpha subunit,3300052297,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 10.M.7_11.3 (*) (MER-FS) (assembled)",2,1341,446,Ga0528642_037478,,Ga0528642_037478,1531,0.54,14,"COG4058===Methyl coenzyme M reductase, alpha subunit===895.1",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
3300037528 assembled Ga0334897_000011_26926_28578,null,methyl-coenzyme M reductase alpha subunit,3300037528,"Sludge microbial communities from methane-producing bioreactor in Wageningen University, Netherlands - Granular Sludge_18_07-R3 (*) (MER-FS) (assembled)",2,1653,550,Ga0334897_000011,,Ga0334897_000011,390986,0.33,561,"COG4058===Methyl coenzyme M reductase, alpha subunit===1072.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA655052,SAMN15738709,,Engineered,Bioreactor,Unclassified,Anaerobic,Unclassified,sludge,,,,
3300038410 assembled Ga0436476_0035535_2291_3994,null,methyl-coenzyme M reductase alpha subunit,3300038410,"Sediment microbial communities from Loxahatchee National Wildlife Refuge, Florida, United States - Lox_East_4 (*) (MER-FS) (assembled)",2,1704,567,Ga0436476_0035535,,Ga0436476_0035535,4387,0.49,26,"COG4058===Methyl coenzyme M reductase, alpha subunit===910.4",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA650766,SAMN15720963,,Environmental,Aquatic,Wetlands,Marine,Sediment,sediment,,,,
3300032046 assembled Ga0315289_1000365617,Ga0315289_1000365617,methyl-coenzyme M reductase alpha subunit,3300032046,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA - YL17G11_40 (*) (MER-FS) (assembled)",2,1662,553,Ga0315289_10003656,,Ga0315289_10003656,23200,0.53,25,"COG4058===Methyl coenzyme M reductase, alpha subunit===979.7",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA539331,SAMN11532091,,Environmental,Aquatic,Lake,Freshwater,Sediment,sediment,,,,
3300033983 assembled Ga0371488_0041503_1450_2955,Ga0371488_340977,methyl-coenzyme M reductase alpha subunit,3300033983,"Lab enriched peat soil microbial communities from McLean, Ithaca, NY, United States - MB23AN SIP fraction (*) (MER-FS) (assembled)",2,1506,501,Ga0371488_0041503,,Ga0371488_0041503,2959,0.58,10,"COG4058===Methyl coenzyme M reductase, alpha subunit===931",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,PRJNA566935,SAMN12794338,,Environmental,Terrestrial,Wetlands,Soil,Peat,peat soil,,,,
3300045411 assembled Ga0438317_0000484_34012_35700,null,methyl-coenzyme M reductase alpha subunit,3300045411,"Freshwater microbial communities from Matano Lake, South Sulawesi, Indonesia - Matano_200m_2015 (*) (MER-FS) (assembled)",2,1689,562,Ga0438317_0000484,,Ga0438317_0000484,46381,0.53,128,"COG4058===Methyl coenzyme M reductase, alpha subunit===979.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Environmental,Aquatic,Lake,Freshwater,Unclassified,Freshwater,,,,
3300052305 assembled Ga0527687_011314_1942_3294,null,methyl-coenzyme M reductase alpha subunit,3300052305,"Switchgrass digestate microbial communities from anaerobic digester in Pennsylvania State University, State Park, PA, USA - 3.T.8_3.1 (*) (MER-FS) (assembled)",2,1353,450,Ga0527687_011314,,Ga0527687_011314,3296,0.49,30,"COG4058===Methyl coenzyme M reductase, alpha subunit===966.5",KO:K00399===mcrA===methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1],,,,,Engineered,Bioreactor,Digestate,Anaerobic,Unclassified,Switchgrass digestate,,,,
